item_name,flips,total_profit,total_spent,roi_percent,avg_profit_per_flip,last_flipped
Wizard boots,5,56038,1727503,3.243872803694118,11207.6,08-04-2025
Sapphire dragon bolts (e),9,55972,7366037,0.759865854597255,6219.111111111111,08-18-2025
Eclipse moon tassets,3,55964,3458593,1.6181146495120993,18654.666666666668,08-08-2025
Bloodbark helm,10,55734,1809882,3.079427277579422,5573.4,08-01-2025
Crystal weapon seed,6,55455,7231595,0.7668432759301371,9242.5,08-13-2025
Ruby dragon bolts (e),2,55362,3294180,1.6806003314937252,27681,08-03-2025
Torag's platelegs,6,54454,2212086,2.4616583622879036,9075.666666666666,08-06-2025
Torag's platebody,5,54066,1446867,3.7367636417168963,10813.2,08-05-2025
Blue moon helm,2,53828,862144,6.243504565362631,26914,08-05-2025
Dragon chainbody,5,53774,4598770,1.1693126640384277,10754.8,08-07-2025
Occult necklace,16,53235,21242286,0.2506086209365602,3327.1875,08-19-2025
Toxic blowpipe (empty),2,52659,15145636,0.34768430985664783,26329.5,08-11-2025
Tome of fire (empty),3,52501,6453698,0.8135025840998449,17500.333333333332,08-15-2025
Mystic hat,13,52367,842539,6.215379940869206,4028.230769230769,07-30-2025
Dwarf cannon set,3,52062,5315202,0.9794924068737181,17354,08-06-2025
Combat bracelet(6),4,52028,3697258,1.4072050151761117,13007,08-14-2025
Drake bones,2,51584,2707372,1.9053162993485935,25792,08-12-2025
Kwuarm potion (unf),1,51465,2855955,1.8020241915576403,51465,08-03-2025
Phoenix necklace,6,51180,8529261,0.6000519857464791,8530,08-20-2025
Clockwork,5,51020,2424756,2.104129240220459,10204,07-31-2025
Antifire potion(4),7,50180,761549,6.589201745389989,7168.571428571428,08-01-2025
Echo virtus ornament kit,2,50178,870267,5.765816697634174,25089,08-04-2025
Swampbark body,8,50062,742542,6.741975538084041,6257.75,08-02-2025
Dragon harpoon,2,49834,11864860,0.4200133840601574,24917,08-15-2025
West ardougne teleport,10,49764,571071,8.71415288116539,4976.4,07-30-2025
Dharok's platebody,4,49287,5345468,0.9220333935213906,12321.75,08-08-2025
Hueycoatl hide vambraces,5,47757,603980,7.907049902314646,9551.4,08-08-2025
Shattered relics void ornament kit,2,47610,2918641,1.631238648398347,23805,08-18-2025
Camelot teleport,11,47508,1538516,3.0879106879616462,4318.909090909091,08-09-2025
Uncut emerald,1,47055,3397371,1.3850415512465373,47055,08-04-2025
Dagon'hai robe bottom,4,46928,2422968,1.9367981748004925,11732,08-06-2025
Extended super antifire(4),5,46601,4368660,1.0667115316824838,9320.2,08-19-2025
Heavy ballista,4,45929,7789642,0.5896163135610083,11482.25,08-09-2025
Brine sabre,3,45604,3809129,1.1972290778285535,15201.333333333334,08-05-2025
Dragonfire shield,2,45028,15295406,0.2943890472734101,22514,08-07-2025
Bloodbark body,5,44447,3164145,1.404708064895888,8889.4,08-05-2025
Yew sapling,3,44344,1623142,2.7319852483639755,14781.333333333334,08-11-2025
Armadyl d'hide body,4,44249,476984,9.276831088673834,11062.25,08-04-2025
Twinflame staff,2,43877,17153928,0.25578398137149694,21938.5,08-20-2025
Thammaron's sceptre (u),1,43362,3234986,1.340407655550905,43362,08-15-2025
Ring of the elements,2,43306,886162,4.886916839133251,21653,08-03-2025
Ring of suffering,1,43270,17300950,0.25010187301853365,43270,08-12-2025
Tome of water (empty),5,42521,1742923,2.439637321901197,8504.2,07-30-2025
Lantadyme,3,42316,5641309,0.7501095933585628,14105.333333333334,08-13-2025
Emerald,1,42204,3175851,1.3289036544850499,42204,08-18-2025
Spirit shield,1,42155,572272,7.366252411440713,42155,08-04-2025
Harralander potion (unf),1,42081,2120235,1.984732824427481,42081,08-20-2025
Staff of the dead,1,41854,8172838,0.5121109705098768,41854,08-16-2025
Abyssal bludgeon,2,41119,42590209,0.09654566381677065,20559.5,08-20-2025
Mole skin,5,40245,591311,6.806063137672054,8049,07-30-2025
Zamorak chaps,4,39971,1229254,3.251646933831413,9992.75,08-08-2025
Karil's leatherskirt,6,39698,3146379,1.2617043274189155,6616.333333333333,08-11-2025
Iron dart tip,6,39342,560830,7.014959970044399,6557,07-31-2025
Ahrim's robetop,3,39126,7202035,0.5432631193822302,13042,08-17-2025
Dynamite,1,39087,2948806,1.3255195492684158,39087,08-13-2025
Ahrim's staff,3,39004,1182850,3.2974595257217736,13001.333333333334,08-04-2025
Stamina potion(1),3,38980,1199356,3.250077541613999,12993.333333333334,08-04-2025
Blue moon chestplate,1,38876,1951600,1.9920065587210494,38876,08-07-2025
Dodgy necklace,3,38382,2397172,1.60113667271268,12794,08-19-2025
Hueycoatl hide chaps,5,38039,1844865,2.06188528699932,7607.8,08-05-2025
Ruby,3,37776,3615746,1.044763653199091,12592,08-18-2025
Ruby bolts,4,37719,1124488,3.3543265913019966,9429.75,08-17-2025
Eclipse moon helm,3,37563,2040045,1.841282912876922,12521,08-06-2025
Hunter potion(4),6,37478,500036,7.495060355654393,6246.333333333333,08-11-2025
Grimy toadflax,3,37450,2654554,1.410783129670747,12483.333333333334,08-01-2025
Soiled page,4,36973,2099487,1.7610492467921925,9243.25,08-19-2025
Echo ahrim's ornament kit,2,36444,259083,14.06653466263707,18222,08-05-2025
Soaked page,5,36092,1741113,2.0729269151399135,7218.4,08-20-2025
Saradomin d'hide body,7,36065,970818,3.714908458640034,5152.142857142857,08-02-2025
Elder chaos top,2,35629,1211939,2.9398344306107815,17814.5,08-03-2025
Amethyst broad bolts,5,35280,697396,5.058818805958165,7056,07-30-2025
Ape atoll teleport,8,35021,434318,8.06344659903573,4377.625,08-11-2025
Mist rune,1,34878,1127722,3.0927835051546393,34878,08-20-2025
Papaya fruit,2,34424,2337876,1.47244764050788,17212,08-16-2025
Devout boots,3,34312,3379388,1.0153317701311597,11437.333333333334,08-06-2025
Shattered cannon ornament kit,3,33637,1572073,2.13965890896924,11212.333333333334,08-04-2025
Dharok's helm,4,33143,2082174,1.591749776915858,8285.75,08-04-2025
Dharok's greataxe,3,32840,9577275,0.34289503016254624,10946.666666666666,08-08-2025
Pest control teleport,5,32327,408467,7.914225628998181,6465.4,07-29-2025
Torture ornament kit,2,32046,314559,10.187595967688097,16023,08-01-2025
Toktz-xil-ak,3,31876,2443893,1.3043124228433896,10625.333333333334,08-05-2025
